EVENT,BOUT,DATE,OUTCOME,WEIGHTCLASS,METHOD,fighter1,fighter2,fighter1_win,f2_distance_landed_avg,f2_sig_str_landed_avg,f2_recent_avg_distance_landed,f1_sig_str_landed_peak,f1_recent_avg_sig_str_landed,f2_distance_landed_peak,f1_distance_landed_peak,f2_age_at_fight_valley,f2_recent_avg_sig_str_landed,f2_body_landed_peak,f1_distance_landed_avg,f2_sig_str_landed_dec_avg,f1_recent_avg_head_landed,f1_body_landed_avg,f1_sig_str_landed_avg,f1_age_at_fight_valley,f2_head_landed_avg,f1_head_landed_peak,f1_recent_avg_sig_str_per_min,f1_age_at_fight_peak,f2_sig_str_landed_peak,f1_recent_avg_distance_landed,f1_age_at_fight,f1_sig_str_per_min_peak,f2_body_landed_avg,f2_recent_avg_head_landed,f1_recent_avg_body_landed,ratio_HEIGHT,f1_distance_att,ratio_REACH
UFC 6: Clash of the Titans,David Abbott vs. Paul Varelans,1995-07-14,W/L,Open Weight Bout,KO/TKO ,David Abbott,Paul Varelans,1.0,0.0,1.0,0.0,14.0,10.5,0.0,1.0,,1.0,1.0,0.5,,10.0,0.5,10.5,30.21492128678987,0.0,13.0,14.216814159292035,30.21492128678987,1.0,0.5,30.21492128678987,21.0,1.0,0.0,0.5,,1,
UFC 6: Clash of the Titans,Ken Shamrock vs. Dan Severn,1995-07-14,W/L,UFC Superfight Championship Bout,Submission ,Dan Severn,Ken Shamrock,1.0,0.5,6.0,0.6666666666666666,9.0,4.333333333333333,1.0,1.0,30.576317590691307,5.333333333333333,3.0,0.14285714285714285,7.578927807452711,4.0,0.0,2.7142857142857144,36.52292950034223,3.0,9.0,1.3963259004064827,37.097878165639976,10.0,0.3333333333333333,37.097878165639976,2.0689655172413794,1.5,2.3333333333333335,0.0,1.0136986301369864,1,1.0694444444444444
UFC 6: Clash of the Titans,Oleg Taktarov vs. Anthony Macias,1995-07-14,W/L,Open Weight Bout,Submission ,Anthony Macias,Oleg Taktarov,1.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,,0.0,0.0,1.0,0.0,2.0,1.0,4.0,,0.0,4.0,2.2857142857142856,,0.0,1.0,,4.571428571428571,0.0,0.0,1.0,,0,
UFC 6: Clash of the Titans,Oleg Taktarov vs. Dave Beneteau,1995-07-14,W/L,Open Weight Bout,Submission ,Dave Beneteau,Oleg Taktarov,1.0,0.0,0.0,0.0,12.0,8.333333333333334,0.0,0.0,,0.0,0.0,0.0,0.0,8.333333333333334,0.0,6.75,,0.0,12.0,14.395078605604922,,0.0,0.0,,34.285714285714285,0.0,0.0,0.0,,0,
UFC 6: Clash of the Titans,Oleg Taktarov vs. David Abbott,1995-07-14,W/L,UFC 6 Tournament Title Bout,Submission ,David Abbott,Oleg Taktarov,1.0,0.6,0.8,1.0,17.0,12.666666666666666,3.0,8.0,,1.3333333333333333,0.0,3.0,0.0,12.0,0.6666666666666666,12.666666666666666,30.21492128678987,0.8,16.0,9.79712493248577,30.21492128678987,4.0,3.0,30.21492128678987,21.0,0.0,1.3333333333333333,0.6666666666666666,,27,
UFC 6: Clash of the Titans,Patrick Smith vs. Rudyard Moncayo,1995-07-14,W/L,Open Weight Bout,Submission ,Patrick Smith,Rudyard Moncayo,1.0,0.0,0.0,0.0,13.0,6.666666666666667,0.0,3.0,,0.0,0.0,0.8,,4.666666666666667,1.8,5.2,,0.0,12.0,10.691112808759868,,0.0,0.3333333333333333,,26.0,0.0,0.0,2.0,,1,
UFC 6: Clash of the Titans,Paul Varelans vs. Cal Worsham,1995-07-14,W/L,Open Weight Bout,KO/TKO ,Cal Worsham,Paul Varelans,1.0,1.5,4.5,1.5,9.0,9.0,3.0,5.0,,4.5,1.0,5.0,1.0,9.0,0.0,9.0,,3.5,9.0,8.709677419354838,,8.0,5.0,,8.709677419354838,1.0,3.5,0.0,,13,
UFC 7: The Brawl in Buffalo,Ken Shamrock vs. Oleg Taktarov,1995-09-08,,,,Ken Shamrock,Oleg Taktarov,,1.0,1.3333333333333333,2.0,29.0,13.666666666666666,3.0,8.0,,2.6666666666666665,0.0,2.0,0.8391398795558044,10.666666666666666,1.6,10.6,30.576317590691307,1.1666666666666667,26.0,0.2985074626865672,31.572895277207394,4.0,3.3333333333333335,31.572895277207394,1.6608996539792389,0.0,2.3333333333333335,1.0,,29,
UFC 7: The Brawl in Buffalo,Marco Ruas vs. Larry Cureton,1995-09-08,W/L,Open Weight Bout,Submission ,Larry Cureton,Marco Ruas,1.0,0.0,1.0,0.0,6.0,3.5,0.0,0.0,34.62286105407255,1.0,0.0,0.0,,1.0,2.5,3.5,,1.0,2.0,1.058128078817734,,1.0,0.0,,1.7733990147783252,0.0,1.0,2.5,,0,
UFC 7: The Brawl in Buffalo,Marco Ruas vs. Paul Varelans,1995-09-08,W/L,UFC 7 Tournament Title Bout,KO/TKO ,Marco Ruas,Paul Varelans,1.0,3.3333333333333335,6.333333333333333,3.3333333333333335,33.0,17.0,7.0,27.0,,6.333333333333333,2.0,13.5,4.5,5.0,0.0,17.0,34.62286105407255,3.3333333333333335,9.0,1.389941344079708,34.62286105407255,10.0,13.5,34.62286105407255,2.4843161856963616,1.3333333333333333,3.3333333333333335,0.0,,49,
UFC 7: The Brawl in Buffalo,Marco Ruas vs. Remco Pardoel,1995-09-08,W/L,Open Weight Bout,Submission ,Marco Ruas,Remco Pardoel,1.0,0.0,3.25,0.0,33.0,12.666666666666666,0.0,27.0,,3.0,0.0,9.333333333333334,3.666666666666667,3.6666666666666665,0.6666666666666666,12.666666666666666,34.62286105407255,2.75,9.0,1.0337226095738883,34.62286105407255,7.0,9.333333333333334,34.62286105407255,2.4843161856963616,0.0,2.3333333333333335,0.6666666666666666,,3,
UFC 7: The Brawl in Buffalo,Mark Hall vs. Harold Howard,1995-09-08,W/L,Open Weight Bout,KO/TKO ,Harold Howard,Mark Hall,1.0,0.0,1.0,0.0,9.0,5.0,0.0,2.0,,1.0,0.0,1.3333333333333333,,4.0,1.0,5.0,,1.0,9.0,5.16489280112419,,1.0,1.3333333333333333,,11.739130434782608,0.0,1.0,1.0,,2,
UFC 7: The Brawl in Buffalo,Paul Varelans vs. Gerry Harris,1995-09-08,W/L,Open Weight Bout,KO/TKO ,Gerry Harris,Paul Varelans,1.0,2.5,5.75,3.3333333333333335,0.0,0.0,7.0,0.0,,7.333333333333333,2.0,0.0,6.420923856309306,0.0,0.0,0.0,,3.5,0.0,0.0,,10.0,0.0,,0.0,1.0,4.666666666666667,0.0,,1,
UFC 7: The Brawl in Buffalo,Paul Varelans vs. Mark Hall,1995-09-08,W/L,Open Weight Bout,Submission ,Mark Hall,Paul Varelans,1.0,2.0,5.0,2.3333333333333335,2.0,1.5,7.0,2.0,,5.333333333333333,2.0,1.0,5.7942619365890184,1.0,0.0,1.5,,3.2,1.0,1.2806362603473462,,10.0,1.0,,1.9672131147540985,0.8,3.0,0.0,,2,
UFC 7: The Brawl in Buffalo,Remco Pardoel vs. Ryan Parker,1995-09-08,W/L,Open Weight Bout,Submission ,Remco Pardoel,Ryan Parker,1.0,0.0,0.0,0.0,7.0,0.6666666666666666,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.6,,0.0,7.0,0.0535475234270415,,0.0,0.0,,4.719101123595506,0.0,0.0,0.0,,0,
UFC 7: The Brawl in Buffalo,Scott Bessac vs. David Hood,1995-09-08,W/L,Open Weight Bout,Submission ,David Hood,Scott Bessac,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,,1.0,1.0,1.0,,0.0,0.0,2.0,,0.0,0.0,3.8709677419354835,,1.0,1.0,,3.8709677419354835,1.0,0.0,0.0,,2,
UFC - Ultimate Ultimate '95,Dan Severn vs. David Abbott,1995-12-16,W/L,Open Weight Bout,Decision - Unanimous ,Dan Severn,David Abbott,1.0,2.25,10.25,3.0,57.0,22.666666666666668,8.0,1.0,30.21492128678987,11.333333333333334,1.0,0.125,12.666666666666668,15.333333333333334,2.0,9.5,36.52292950034223,9.75,36.0,2.0437181906559156,37.52224503764545,17.0,0.3333333333333333,37.52224503764545,3.1666666666666665,0.5,10.666666666666666,5.333333333333333,1.0277777777777777,0,1.0212201591511936
UFC - Ultimate Ultimate '95,Dan Severn vs. Oleg Taktarov,1995-12-16,,,,Dan Severn,Oleg Taktarov,,2.0,2.2857142857142856,4.666666666666667,57.0,27.666666666666668,8.0,7.0,,5.333333333333333,1.0,0.8888888888888888,1.4201001403870794,18.333333333333332,2.3333333333333335,11.11111111111111,36.52292950034223,1.5714285714285714,36.0,1.3540630182421225,37.52224503764545,8.0,2.6666666666666665,37.52224503764545,3.1666666666666665,0.14285714285714285,3.6666666666666665,7.0,,60,
UFC - Ultimate Ultimate '95,Dan Severn vs. Paul Varelans,1995-12-16,W/L,Open Weight Bout,Submission ,Dan Severn,Paul Varelans,1.0,1.8333333333333333,4.333333333333333,0.3333333333333333,57.0,27.0,7.0,7.0,,2.3333333333333335,2.0,0.8,5.014064218183143,18.0,2.1,10.0,36.52292950034223,2.6666666666666665,36.0,1.0555555555555556,37.52224503764545,10.0,2.3333333333333335,37.52224503764545,3.1666666666666665,0.6666666666666666,2.0,7.0,,0,
