feature,timing
recent_avg_title_fight_losses_differential,postcomp
avg_num_fights_differential,precomp
recent_avg_num_fights_differential,precomp
avg_win_streak_differential,postcomp
recent_avg_win_streak_differential,postcomp
avg_lose_streak_differential,postcomp
recent_avg_lose_streak_differential,postcomp
avg_win_loss_ratio_differential,postcomp
recent_avg_win_loss_ratio_differential,postcomp
avg_KO_losses_differential,postcomp
recent_avg_KO_losses_differential,postcomp
avg_sub_absorbed_differential,precomp
recent_avg_sub_absorbed_differential,precomp
avg_takedowns_absorbed_differential,precomp
recent_avg_takedowns_absorbed_differential,precomp
avg_sig_strikes_absorbed_differential,precomp
recent_avg_sig_strikes_absorbed_differential,precomp
avg_total_strikes_absorbed_differential,precomp
recent_avg_total_strikes_absorbed_differential,precomp
avg_head_strikes_absorbed_differential,precomp
recent_avg_head_strikes_absorbed_differential,precomp
avg_body_strikes_absorbed_differential,precomp
recent_avg_body_strikes_absorbed_differential,precomp
avg_leg_strikes_absorbed_differential,precomp
recent_avg_leg_strikes_absorbed_differential,precomp
avg_distance_strikes_absorbed_differential,precomp
recent_avg_distance_strikes_absorbed_differential,precomp
avg_clinch_strikes_absorbed_differential,precomp
recent_avg_clinch_strikes_absorbed_differential,precomp
avg_ground_strikes_absorbed_differential,precomp
recent_avg_ground_strikes_absorbed_differential,precomp
avg_total_sub_absorbed_differential,precomp
recent_avg_total_sub_absorbed_differential,precomp
avg_total_takedowns_absorbed_differential,precomp
recent_avg_total_takedowns_absorbed_differential,precomp
avg_total_sig_strikes_absorbed_differential,precomp
recent_avg_total_sig_strikes_absorbed_differential,precomp
avg_total_total_strikes_absorbed_differential,precomp
recent_avg_total_total_strikes_absorbed_differential,precomp
avg_total_head_strikes_absorbed_differential,precomp
recent_avg_total_head_strikes_absorbed_differential,precomp
avg_total_body_strikes_absorbed_differential,precomp
recent_avg_total_body_strikes_absorbed_differential,precomp
avg_total_leg_strikes_absorbed_differential,precomp
recent_avg_total_leg_strikes_absorbed_differential,precomp
avg_total_distance_strikes_absorbed_differential,precomp
recent_avg_total_distance_strikes_absorbed_differential,precomp
avg_total_clinch_strikes_absorbed_differential,precomp
recent_avg_total_clinch_strikes_absorbed_differential,precomp
avg_total_ground_strikes_absorbed_differential,precomp
recent_avg_total_ground_strikes_absorbed_differential,precomp
avg_total_comp_time_differential,postcomp
recent_avg_total_comp_time_differential,postcomp
avg_stamina_differential,postcomp
recent_avg_stamina_differential,postcomp
avg_odds_differential,postcomp
recent_avg_odds_differential,postcomp
avg_sub_acc_differential,precomp
recent_avg_sub_acc_differential,precomp
avg_takedowns_acc_differential,precomp
recent_avg_takedowns_acc_differential,precomp
avg_sig_strikes_acc_differential,precomp
recent_avg_sig_strikes_acc_differential,precomp
avg_total_strikes_acc_differential,precomp
recent_avg_total_strikes_acc_differential,precomp
avg_head_strikes_acc_differential,precomp
recent_avg_head_strikes_acc_differential,precomp
avg_body_strikes_acc_differential,precomp
recent_avg_body_strikes_acc_differential,precomp
avg_leg_strikes_acc_differential,precomp
recent_avg_leg_strikes_acc_differential,precomp
avg_distance_strikes_acc_differential,precomp
recent_avg_distance_strikes_acc_differential,precomp
avg_clinch_strikes_acc_differential,precomp
recent_avg_clinch_strikes_acc_differential,precomp
avg_ground_strikes_acc_differential,precomp
recent_avg_ground_strikes_acc_differential,precomp
avg_sub_def_differential,precomp
recent_avg_sub_def_differential,precomp
avg_takedowns_def_differential,precomp
recent_avg_takedowns_def_differential,precomp
avg_sig_strikes_def_differential,precomp
recent_avg_sig_strikes_def_differential,precomp
avg_total_strikes_def_differential,precomp
recent_avg_total_strikes_def_differential,precomp
avg_head_strikes_def_differential,precomp
recent_avg_head_strikes_def_differential,precomp
avg_body_strikes_def_differential,precomp
recent_avg_body_strikes_def_differential,precomp
avg_leg_strikes_def_differential,precomp
recent_avg_leg_strikes_def_differential,precomp
avg_distance_strikes_def_differential,precomp
recent_avg_distance_strikes_def_differential,precomp
avg_clinch_strikes_def_differential,precomp
recent_avg_clinch_strikes_def_differential,precomp
avg_ground_strikes_def_differential,precomp
recent_avg_ground_strikes_def_differential,precomp
avg_sub_attempts_per_min_differential,precomp
recent_avg_sub_attempts_per_min_differential,precomp
avg_sub_landed_per_min_differential,precomp
recent_avg_sub_landed_per_min_differential,precomp
avg_takedowns_landed_per_min_differential,precomp
recent_avg_takedowns_landed_per_min_differential,precomp
avg_takedowns_attempts_per_min_differential,precomp
recent_avg_takedowns_attempts_per_min_differential,precomp
avg_sig_strikes_landed_per_min_differential,precomp
recent_avg_sig_strikes_landed_per_min_differential,precomp
avg_sig_strikes_attempts_per_min_differential,precomp
recent_avg_sig_strikes_attempts_per_min_differential,precomp
avg_total_strikes_landed_per_min_differential,precomp
recent_avg_total_strikes_landed_per_min_differential,precomp
avg_total_strikes_attempts_per_min_differential,precomp
recent_avg_total_strikes_attempts_per_min_differential,precomp
avg_head_strikes_landed_per_min_differential,precomp
recent_avg_head_strikes_landed_per_min_differential,precomp
avg_head_strikes_attempts_per_min_differential,precomp
recent_avg_head_strikes_attempts_per_min_differential,precomp
avg_body_strikes_landed_per_min_differential,precomp
recent_avg_body_strikes_landed_per_min_differential,precomp
avg_body_strikes_attempts_per_min_differential,precomp
recent_avg_body_strikes_attempts_per_min_differential,precomp
avg_leg_strikes_landed_per_min_differential,precomp
recent_avg_leg_strikes_landed_per_min_differential,precomp
avg_leg_strikes_attempts_per_min_differential,precomp
recent_avg_leg_strikes_attempts_per_min_differential,precomp
avg_distance_strikes_landed_per_min_differential,precomp
recent_avg_distance_strikes_landed_per_min_differential,precomp
avg_distance_strikes_attempts_per_min_differential,precomp
recent_avg_distance_strikes_attempts_per_min_differential,precomp
avg_clinch_strikes_landed_per_min_differential,precomp
recent_avg_clinch_strikes_landed_per_min_differential,precomp
avg_clinch_strikes_attempts_per_min_differential,precomp
recent_avg_clinch_strikes_attempts_per_min_differential,precomp
avg_ground_strikes_landed_per_min_differential,precomp
recent_avg_ground_strikes_landed_per_min_differential,precomp
avg_ground_strikes_attempts_per_min_differential,precomp
recent_avg_ground_strikes_attempts_per_min_differential,precomp
knockdowns_peak,precomp
knockdowns_valley,precomp
knockdowns_vs_peak,precomp
knockdowns_vs_valley,precomp
days_since_last_comp_peak,precomp
days_since_last_comp_valley,precomp
days_since_last_comp_vs_peak,precomp
days_since_last_comp_vs_valley,precomp
sub_attempts_peak,precomp
sub_attempts_valley,precomp
sub_attempts_vs_peak,precomp
sub_attempts_vs_valley,precomp
sub_landed_peak,precomp
sub_landed_valley,precomp
sub_landed_vs_peak,precomp
sub_landed_vs_valley,precomp
reversals_peak,precomp
reversals_valley,precomp
reversals_vs_peak,precomp
reversals_vs_valley,precomp
control_peak,precomp
control_valley,precomp
control_vs_peak,precomp
control_vs_valley,precomp
takedowns_landed_peak,precomp
takedowns_landed_valley,precomp
takedowns_landed_vs_peak,precomp
takedowns_landed_vs_valley,precomp
takedowns_attempts_peak,precomp
takedowns_attempts_valley,precomp
takedowns_attempts_vs_peak,precomp
takedowns_attempts_vs_valley,precomp
sig_strikes_landed_peak,precomp
sig_strikes_landed_valley,precomp
sig_strikes_landed_vs_peak,precomp
sig_strikes_landed_vs_valley,precomp
sig_strikes_attempts_peak,precomp
sig_strikes_attempts_valley,precomp
sig_strikes_attempts_vs_peak,precomp
sig_strikes_attempts_vs_valley,precomp
total_strikes_landed_peak,precomp
total_strikes_landed_valley,precomp
